,Code
0,1301
1,1332
2,1333
3,1375
4,1376
5,1377
6,1379
7,1384
8,1414
9,1417
10,1419
11,1420
12,1429
13,1430
14,1433
15,1435
16,1446
17,1514
18,1515
19,1518
20,1605
21,1662
22,1663
23,1712
24,1716
25,1717
26,1719
27,1720
28,1721
29,1726
30,1762
31,1766
32,1768
33,1780
34,1786
35,1801
36,1802
37,1803
38,1805
39,1808
40,1810
41,1811
42,1812
43,1813
44,1814
45,1815
46,1820
47,1821
48,1822
49,1826
50,1827
51,1833
52,1835
53,1847
54,1848
55,1852
56,1860
57,1861
58,1866
59,1867
60,1870
61,1871
62,1873
63,1878
64,1879
65,1882
66,1884
67,1885
68,1887
69,1888
70,1890
71,1893
72,1898
73,1899
74,1909
75,1911
76,1914
77,1921
78,1925
79,1926
80,1928
81,1929
82,1930
83,1934
84,1938
85,1939
86,1941
87,1942
88,1944
89,1945
90,1946
91,1949
92,1950
93,1951
94,1952
95,1954
96,1959
97,1961
98,1963
99,1964
100,1967
101,1968
102,1969
103,1972
104,1973
105,1975
106,1976
107,1979
108,1980
109,1982
110,2001
111,2002
112,2003
113,2004
114,2009
115,2053
116,2060
117,2107
118,2108
119,2109
120,2112
121,2117
122,2120
123,2121
124,2124
125,2127
126,2130
127,2139
128,2146
129,2148
130,2153
131,2154
132,2157
133,2163
134,2168
135,2169
136,2170
137,2175
138,2180
139,2181
140,2183
141,2193
142,2196
143,2198
144,2201
145,2204
146,2206
147,2207
148,2209
149,2211
150,2212
151,2215
152,2217
153,2220
154,2222
155,2229
156,2264
157,2266
158,2267
159,2269
160,2270
161,2281
162,2282
163,2286
164,2288
165,2292
166,2294
167,2296
168,2301
169,2305
170,2307
171,2309
172,2311
173,2317
174,2325
175,2326
176,2327
177,2331
178,2335
179,2337
180,2353
181,2359
182,2371
183,2372
184,2374
185,2376
186,2378
187,2379
188,2384
189,2389
190,2395
191,2410
192,2412
193,2413
194,2418
195,2424
196,2427
197,2428
198,2429
199,2432
200,2433
201,2440
202,2445
203,2453
204,2461
205,2462
206,2464
207,2471
208,2475
209,2477
210,2485
211,2487
212,2489
213,2491
214,2492
215,2501
216,2502
217,2503
218,2531
219,2533
220,2540
221,2579
222,2587
223,2590
224,2593
225,2594
226,2597
227,2599
228,2602
229,2607
230,2612
231,2613
232,2651
233,2659
234,2664
235,2670
236,2674
237,2676
238,2678
239,2681
240,2685
241,2686
242,2687
243,2689
244,2692
245,2695
246,2698
247,2715
248,2722
249,2726
250,2730
251,2733
252,2734
253,2735
254,2737
255,2742
256,2749
257,2752
258,2753
259,2760
260,2764
261,2767
262,2768
263,2784
264,2791
265,2792
266,2796
267,2801
268,2802
269,2804
270,2809
271,2810
272,2811
273,2812
274,2815
275,2818
276,2819
277,2820
278,2871
279,2874
280,2875
281,2882
282,2883
283,2884
284,2897
285,2899
286,2904
287,2908
288,2910
289,2914
290,2915
291,2918
292,2922
293,2924
294,2929
295,2930
296,2931
297,2933
298,2935
299,2975
300,2980
301,2982
302,3001
303,3002
304,3003
305,3004
306,3023
307,3028
308,3030
309,3031
310,3034
311,3036
312,3038
313,3040
314,3046
315,3048
316,3050
317,3053
318,3054
319,3064
320,3067
321,3073
322,3076
323,3079
324,3082
325,3085
326,3086
327,3087
328,3088
329,3091
330,3092
331,3093
332,3097
333,3099
334,3101
335,3103
336,3104
337,3105
338,3106
339,3107
340,3109
341,3110
342,3116
343,3132
344,3134
345,3135
346,3139
347,3141
348,3148
349,3150
350,3151
351,3153
352,3154
353,3156
354,3157
355,3159
356,3160
357,3166
358,3167
359,3168
360,3169
361,3172
362,3173
363,3175
364,3176
365,3178
366,3179
367,3180
368,3182
369,3183
370,3186
371,3191
372,3193
373,3196
374,3197
375,3198
376,3199
377,3201
378,3202
379,3204
380,3205
381,3221
382,3222
383,3228
384,3231
385,3232
386,3244
387,3245
388,3246
389,3252
390,3254
391,3267
392,3271
393,3275
394,3276
395,3277
396,3280
397,3284
398,3288
399,3289
400,3291
401,3294
402,3299
403,3302
404,3315
405,3319
406,3321
407,3328
408,3333
409,3341
410,3349
411,3360
412,3361
413,3371
414,3382
415,3387
416,3388
417,3391
418,3392
419,3393
420,3395
421,3396
422,3397
423,3401
424,3402
425,3405
426,3407
427,3415
428,3421
429,3431
430,3433
431,3434
432,3436
433,3443
434,3445
435,3446
436,3447
437,3452
438,3454
439,3457
440,3458
441,3464
442,3465
443,3467
444,3475
445,3480
446,3482
447,3484
448,3486
449,3489
450,3501
451,3512
452,3513
453,3521
454,3524
455,3526
456,3529
457,3538
458,3539
459,3543
460,3544
461,3546
462,3547
463,3548
464,3549
465,3551
466,3553
467,3559
468,3561
469,3563
470,3565
471,3569
472,3571
473,3577
474,3580
475,3591
476,3593
477,3607
478,3608
479,3611
480,3612
481,3626
482,3627
483,3632
484,3633
485,3635
486,3636
487,3639
488,3640
489,3648
490,3649
491,3655
492,3656
493,3657
494,3659
495,3660
496,3661
497,3662
498,3665
499,3666
500,3667
501,3668
502,3672
503,3673
504,3675
505,3676
506,3677
507,3678
508,3679
509,3681
510,3682
511,3683
512,3686
513,3687
514,3688
515,3694
516,3696
517,3697
518,3708
519,3738
520,3741
521,3762
522,3763
523,3765
524,3769
525,3770
526,3771
527,3774
528,3778
529,3784
530,3788
531,3817
532,3826
533,3834
534,3835
535,3836
536,3837
537,3839
538,3843
539,3844
540,3852
541,3853
542,3854
543,3861
544,3863
545,3864
546,3865
547,3877
548,3878
549,3880
550,3896
551,3901
552,3902
553,3903
554,3909
555,3912
556,3915
557,3916
558,3918
559,3920
560,3921
561,3922
562,3923
563,3924
564,3925
565,3926
566,3928
567,3932
568,3934
569,3937
570,3939
571,3940
572,3941
573,3946
574,3950
575,3962
576,3963
577,3964
578,3965
579,3968
580,3969
581,3978
582,3981
583,3983
584,3984
585,3985
586,3992
587,3994
588,3996
589,4004
590,4005
591,4008
592,4021
593,4022
594,4023
595,4025
596,4027
597,4028
598,4031
599,4041
600,4042
601,4043
602,4044
603,4045
604,4046
605,4047
606,4053
607,4061
608,4062
609,4063
610,4064
611,4072
612,4078
613,4082
614,4088
615,4091
616,4092
617,4093
618,4095
619,4097
620,4098
621,4099
622,4100
623,4109
624,4112
625,4114
626,4116
627,4118
628,4151
629,4180
630,4182
631,4183
632,4185
633,4186
634,4187
635,4188
636,4189
637,4202
638,4203
639,4204
640,4205
641,4206
642,4208
643,4212
644,4215
645,4216
646,4218
647,4220
648,4221
649,4228
650,4229
651,4231
652,4238
653,4245
654,4246
655,4248
656,4249
657,4251
658,4272
659,4275
660,4284
661,4286
662,4290
663,4295
664,4298
665,4299
666,4301
667,4307
668,4310
669,4312
670,4318
671,4319
672,4320
673,4323
674,4324
675,4326
676,4331
677,4333
678,4337
679,4343
680,4344
681,4345
682,4346
683,4348
684,4350
685,4362
686,4368
687,4369
688,4373
689,4382
690,4384
691,4385
692,4390
693,4392
694,4396
695,4401
696,4403
697,4404
698,4406
699,4410
700,4420
701,4423
702,4430
703,4432
704,4433
705,4434
706,4439
707,4440
708,4441
709,4443
710,4446
711,4449
712,4452
713,4461
714,4462
715,4463
716,4465
717,4471
718,4480
719,4481
720,4483
721,4502
722,4503
723,4506
724,4507
725,4512
726,4516
727,4519
728,4521
729,4523
730,4526
731,4527
732,4528
733,4530
734,4531
735,4534
736,4536
737,4538
738,4539
739,4540
740,4543
741,4544
742,4547
743,4548
744,4549
745,4551
746,4552
747,4553
748,4554
749,4559
750,4565
751,4568
752,4569
753,4574
754,4577
755,4578
756,4581
757,4587
758,4611
759,4612
760,4613
761,4615
762,4617
763,4619
764,4620
765,4626
766,4631
767,4633
768,4634
769,4636
770,4641
771,4651
772,4658
773,4661
774,4662
775,4665
776,4666
777,4668
778,4671
779,4674
780,4676
781,4678
782,4679
783,4680
784,4681
785,4684
786,4686
787,4687
788,4689
789,4694
790,4704
791,4708
792,4709
793,4714
794,4716
795,4718
796,4719
797,4722
798,4725
799,4726
800,4728
801,4732
802,4733
803,4739
804,4743
805,4745
806,4746
807,4751
808,4755
809,4762
810,4763
811,4765
812,4767
813,4768
814,4776
815,4792
816,4801
817,4809
818,4812
819,4813
820,4819
821,4820
822,4825
823,4826
824,4828
825,4829
826,4839
827,4845
828,4847
829,4848
830,4849
831,4886
832,4887
833,4901
834,4902
835,4911
836,4912
837,4914
838,4917
839,4919
840,4921
841,4922
842,4923
843,4926
844,4927
845,4928
846,4929
847,4931
848,4936
849,4951
850,4955
851,4956
852,4958
853,4963
854,4967
855,4968
856,4971
857,4973
858,4974
859,4975
860,4977
861,4979
862,4980
863,4985
864,4992
865,4994
866,4996
867,4997
868,5009
869,5011
870,5013
871,5015
872,5017
873,5018
874,5019
875,5020
876,5021
877,5074
878,5076
879,5101
880,5105
881,5108
882,5110
883,5121
884,5122
885,5142
886,5185
887,5186
888,5187
889,5191
890,5192
891,5195
892,5201
893,5202
894,5204
895,5208
896,5210
897,5214
898,5218
899,5232
900,5233
901,5261
902,5262
903,5269
904,5273
905,5288
906,5301
907,5302
908,5310
909,5331
910,5332
911,5333
912,5334
913,5337
914,5344
915,5351
916,5352
917,5357
918,5363
919,5367
920,5384
921,5388
922,5391
923,5393
924,5401
925,5406
926,5408
927,5410
928,5411
929,5423
930,5440
931,5444
932,5445
933,5449
934,5451
935,5461
936,5463
937,5464
938,5471
939,5476
940,5480
941,5481
942,5482
943,5491
944,5541
945,5563
946,5602
947,5603
948,5612
949,5631
950,5632
951,5658
952,5659
953,5698
954,5702
955,5703
956,5706
957,5707
958,5711
959,5713
960,5714
961,5715
962,5721
963,5726
964,5727
965,5741
966,5757
967,5801
968,5802
969,5803
970,5805
971,5809
972,5819
973,5821
974,5830
975,5831
976,5832
977,5838
978,5851
979,5852
980,5857
981,5901
982,5902
983,5909
984,5911
985,5915
986,5923
987,5929
988,5930
989,5932
990,5933
991,5936
992,5938
993,5942
994,5943
995,5946
996,5947
997,5949
998,5951
999,5957
1000,5958
1001,5959
1002,5970
1003,5975
1004,5976
1005,5981
1006,5985
1007,5986
1008,5988
1009,5989
1010,5991
1011,5992
1012,5998
1013,6005
1014,6013
1015,6028
1016,6029
1017,6032
1018,6035
1019,6036
1020,6037
1021,6044
1022,6047
1023,6048
1024,6050
1025,6054
1026,6055
1027,6058
1028,6059
1029,6062
1030,6070
1031,6071
1032,6073
1033,6078
1034,6080
1035,6082
1036,6083
1037,6087
1038,6088
1039,6089
1040,6093
1041,6095
1042,6096
1043,6098
1044,6099
1045,6101
1046,6103
1047,6104
1048,6113
1049,6118
1050,6121
1051,6134
1052,6135
1053,6136
1054,6138
1055,6140
1056,6141
1057,6143
1058,6146
1059,6151
1060,6157
1061,6165
1062,6167
1063,6171
1064,6178
1065,6183
1066,6184
1067,6185
1068,6186
1069,6189
1070,6191
1071,6194
1072,6196
1073,6197
1074,6199
1075,6200
1076,6201
1077,6203
1078,6208
1079,6210
1080,6217
1081,6218
1082,6222
1083,6235
1084,6236
1085,6237
1086,6238
1087,6240
1088,6247
1089,6250
1090,6254
1091,6258
1092,6262
1093,6264
1094,6266
1095,6268
1096,6269
1097,6272
1098,6273
1099,6277
1100,6278
1101,6279
1102,6282
1103,6284
1104,6287
1105,6289
1106,6291
1107,6292
1108,6293
1109,6294
1110,6298
1111,6301
1112,6302
1113,6305
1114,6306
1115,6309
1116,6310
1117,6315
1118,6316
1119,6317
1120,6319
1121,6323
1122,6325
1123,6326
1124,6328
1125,6330
1126,6331
1127,6332
1128,6333
1129,6335
1130,6339
1131,6340
1132,6345
1133,6349
1134,6351
1135,6356
1136,6358
1137,6361
1138,6362
1139,6363
1140,6364
1141,6367
1142,6368
1143,6369
1144,6370
1145,6371
1146,6373
1147,6376
1148,6378
1149,6379
1150,6381
1151,6383
1152,6387
1153,6390
1154,6393
1155,6395
1156,6406
1157,6407
1158,6412
1159,6413
1160,6417
1161,6418
1162,6419
1163,6420
1164,6428
1165,6430
1166,6432
1167,6436
1168,6440
1169,6444
1170,6445
1171,6448
1172,6454
1173,6455
1174,6457
1175,6458
1176,6459
1177,6460
1178,6461
1179,6462
1180,6463
1181,6464
1182,6465
1183,6470
1184,6471
1185,6472
1186,6473
1187,6474
1188,6479
1189,6480
1190,6481
1191,6482
1192,6485
1193,6486
1194,6489
1195,6490
1196,6498
1197,6501
1198,6502
1199,6503
1200,6504
1201,6505
1202,6506
1203,6507
1204,6508
1205,6513
1206,6516
1207,6517
1208,6523
1209,6526
1210,6532
1211,6533
1212,6535
1213,6538
1214,6539
1215,6540
1216,6544
1217,6546
1218,6547
1219,6551
1220,6552
1221,6555
1222,6556
1223,6560
1224,6564
1225,6569
1226,6571
1227,6572
1228,6584
1229,6586
1230,6588
1231,6590
1232,6592
1233,6594
1234,6615
1235,6616
1236,6617
1237,6619
1238,6620
1239,6622
1240,6630
1241,6632
1242,6638
1243,6640
1244,6644
1245,6645
1246,6651
1247,6652
1248,6653
1249,6654
1250,6674
1251,6675
1252,6676
1253,6678
1254,6699
1255,6701
1256,6702
1257,6703
1258,6704
1259,6706
1260,6707
1261,6715
1262,6718
1263,6723
1264,6724
1265,6727
1266,6728
1267,6730
1268,6737
1269,6740
1270,6741
1271,6742
1272,6744
1273,6745
1274,6748
1275,6750
1276,6752
1277,6753
1278,6754
1279,6755
1280,6758
1281,6762
1282,6763
1283,6768
1284,6770
1285,6771
1286,6779
1287,6785
1288,6787
1289,6788
1290,6789
1291,6794
1292,6798
1293,6800
1294,6803
1295,6804
1296,6806
1297,6807
1298,6809
1299,6810
1300,6814
1301,6817
1302,6820
1303,6823
1304,6841
1305,6844
1306,6845
1307,6848
1308,6849
1309,6850
1310,6853
1311,6855
1312,6856
1313,6857
1314,6858
1315,6859
1316,6861
1317,6866
1318,6869
1319,6871
1320,6875
1321,6877
1322,6879
1323,6901
1324,6902
1325,6904
1326,6905
1327,6908
1328,6914
1329,6915
1330,6920
1331,6923
1332,6925
1333,6926
1334,6927
1335,6928
1336,6929
1337,6932
1338,6937
1339,6938
1340,6941
1341,6947
1342,6951
1343,6952
1344,6954
1345,6958
1346,6961
1347,6962
1348,6963
1349,6965
1350,6966
1351,6967
1352,6971
1353,6973
1354,6976
1355,6981
1356,6986
1357,6988
1358,6989
1359,6995
1360,6996
1361,6997
1362,6999
1363,7003
1364,7004
1365,7011
1366,7012
1367,7013
1368,7014
1369,7022
1370,7030
1371,7033
1372,7034
1373,7035
1374,7037
1375,7038
1376,7044
1377,7059
1378,7060
1379,7071
1380,7085
1381,7088
1382,7092
1383,7102
1384,7105
1385,7122
1386,7127
1387,7128
1388,7130
1389,7135
1390,7148
1391,7150
1392,7161
1393,7164
1394,7167
1395,7172
1396,7173
1397,7180
1398,7181
1399,7182
1400,7183
1401,7184
1402,7186
1403,7187
1404,7189
1405,7191
1406,7192
1407,7196
1408,7198
1409,7199
1410,7201
1411,7202
1412,7203
1413,7205
1414,7211
1415,7212
1416,7213
1417,7214
1418,7215
1419,7220
1420,7222
1421,7224
1422,7226
1423,7231
1424,7236
1425,7238
1426,7239
1427,7240
1428,7241
1429,7242
1430,7244
1431,7245
1432,7246
1433,7247
1434,7250
1435,7256
1436,7259
1437,7261
1438,7266
1439,7267
1440,7269
1441,7270
1442,7271
1443,7272
1444,7276
1445,7277
1446,7278
1447,7280
1448,7282
1449,7283
1450,7284
1451,7291
1452,7294
1453,7296
1454,7305
1455,7309
1456,7313
1457,7322
1458,7327
1459,7337
1460,7347
1461,7350
1462,7354
1463,7358
1464,7366
1465,7380
1466,7381
1467,7383
1468,7384
1469,7389
1470,7408
1471,7414
1472,7416
1473,7417
1474,7419
1475,7420
1476,7421
1477,7427
1478,7433
1479,7438
1480,7442
1481,7445
1482,7447
1483,7451
1484,7453
1485,7455
1486,7456
1487,7458
1488,7459
1489,7463
1490,7466
1491,7467
1492,7475
1493,7476
1494,7480
1495,7481
1496,7482
1497,7483
1498,7487
1499,7494
1500,7504
1501,7506
1502,7508
1503,7510
1504,7512
1505,7513
1506,7514
1507,7516
1508,7518
1509,7520
1510,7522
1511,7524
1512,7525
1513,7527
1514,7532
1515,7537
1516,7545
1517,7550
1518,7552
1519,7554
1520,7561
1521,7570
1522,7575
1523,7581
1524,7590
1525,7593
1526,7595
1527,7596
1528,7599
1529,7600
1530,7601
1531,7605
1532,7606
1533,7607
1534,7608
1535,7609
1536,7611
1537,7613
1538,7615
1539,7616
1540,7618
1541,7619
1542,7628
1543,7630
1544,7637
1545,7640
1546,7646
1547,7649
1548,7673
1549,7679
1550,7701
1551,7702
1552,7709
1553,7715
1554,7717
1555,7718
1556,7721
1557,7723
1558,7725
1559,7727
1560,7729
1561,7730
1562,7731
1563,7732
1564,7733
1565,7734
1566,7735
1567,7739
1568,7740
1569,7741
1570,7743
1571,7744
1572,7745
1573,7747
1574,7751
1575,7752
1576,7762
1577,7769
1578,7775
1579,7780
1580,7782
1581,7795
1582,7811
1583,7816
1584,7817
1585,7818
1586,7819
1587,7820
1588,7821
1589,7822
1590,7823
1591,7832
1592,7833
1593,7839
1594,7840
1595,7844
1596,7846
1597,7856
1598,7860
1599,7864
1600,7867
1601,7868
1602,7872
1603,7874
1604,7885
1605,7888
1606,7893
1607,7897
1608,7898
1609,7905
1610,7908
1611,7911
1612,7912
1613,7914
1614,7915
1615,7916
1616,7917
1617,7918
1618,7921
1619,7925
1620,7931
1621,7936
1622,7937
1623,7940
1624,7942
1625,7943
1626,7944
1627,7947
1628,7949
1629,7951
1630,7952
1631,7955
1632,7956
1633,7958
1634,7962
1635,7965
1636,7966
1637,7970
1638,7971
1639,7972
1640,7974
1641,7976
1642,7979
1643,7981
1644,7984
1645,7987
1646,7988
1647,7989
1648,7990
1649,7994
1650,7995
1651,7999
1652,8001
1653,8002
1654,8005
1655,8007
1656,8008
1657,8011
1658,8012
1659,8013
1660,8014
1661,8015
1662,8016
1663,8018
1664,8020
1665,8022
1666,8025
1667,8029
1668,8031
1669,8032
1670,8035
1671,8037
1672,8038
1673,8041
1674,8043
1675,8050
1676,8051
1677,8052
1678,8053
1679,8056
1680,8057
1681,8058
1682,8059
1683,8060
1684,8061
1685,8065
1686,8068
1687,8070
1688,8074
1689,8075
1690,8077
1691,8078
1692,8079
1693,8081
1694,8084
1695,8086
1696,8088
1697,8089
1698,8091
1699,8093
1700,8095
1701,8097
1702,8098
1703,8101
1704,8103
1705,8104
1706,8107
1707,8111
1708,8113
1709,8114
1710,8118
1711,8125
1712,8127
1713,8129
1714,8130
1715,8131
1716,8132
1717,8133
1718,8136
1719,8137
1720,8140
1721,8141
1722,8142
1723,8150
1724,8151
1725,8153
1726,8154
1727,8155
1728,8157
1729,8158
1730,8159
1731,8160
1732,8163
1733,8165
1734,8166
1735,8167
1736,8168
1737,8173
1738,8174
1739,8179
1740,8181
1741,8182
1742,8185
1743,8194
1744,8200
1745,8203
1746,8207
1747,8214
1748,8217
1749,8218
1750,8219
1751,8227
1752,8230
1753,8233
1754,8237
1755,8242
1756,8244
1757,8252
1758,8253
1759,8255
1760,8260
1761,8267
1762,8273
1763,8275
1764,8276
1765,8278
1766,8279
1767,8281
1768,8282
1769,8283
1770,8285
1771,8289
1772,8291
1773,8303
1774,8304
1775,8306
1776,8308
1777,8309
1778,8316
1779,8331
1780,8334
1781,8336
1782,8337
1783,8338
1784,8341
1785,8343
1786,8344
1787,8345
1788,8346
1789,8349
1790,8354
1791,8358
1792,8359
1793,8360
1794,8361
1795,8362
1796,8364
1797,8365
1798,8366
1799,8367
1800,8368
1801,8369
1802,8370
1803,8377
1804,8381
1805,8383
1806,8386
1807,8387
1808,8388
1809,8392
1810,8393
1811,8395
1812,8399
1813,8410
1814,8411
1815,8416
1816,8418
1817,8424
1818,8425
1819,8439
1820,8473
1821,8511
1822,8515
1823,8518
1824,8522
1825,8524
1826,8537
1827,8541
1828,8542
1829,8544
1830,8550
1831,8551
1832,8558
1833,8562
1834,8563
1835,8566
1836,8570
1837,8572
1838,8584
1839,8585
1840,8591
1841,8593
1842,8595
1843,8596
1844,8600
1845,8601
1846,8604
1847,8609
1848,8613
1849,8614
1850,8616
1851,8617
1852,8622
1853,8624
1854,8628
1855,8630
1856,8697
1857,8698
1858,8706
1859,8707
1860,8708
1861,8713
1862,8714
1863,8715
1864,8725
1865,8732
1866,8739
1867,8742
1868,8750
1869,8766
1870,8769
1871,8771
1872,8772
1873,8793
1874,8795
1875,8798
1876,8801
1877,8802
1878,8803
1879,8804
1880,8818
1881,8830
1882,8835
1883,8841
1884,8842
1885,8848
1886,8850
1887,8860
1888,8864
1889,8869
1890,8871
1891,8876
1892,8877
1893,8881
1894,8892
1895,8897
1896,8904
1897,8905
1898,8908
1899,8917
1900,8918
1901,8919
1902,8920
1903,8923
1904,8928
1905,8934
1906,8935
1907,8940
1908,8944
1909,8945
1910,8999
1911,9001
1912,9003
1913,9005
1914,9006
1915,9007
1916,9008
1917,9009
1918,9010
1919,9020
1920,9021
1921,9022
1922,9024
1923,9025
1924,9031
1925,9037
1926,9039
1927,9041
1928,9042
1929,9044
1930,9045
1931,9046
1932,9048
1933,9052
1934,9055
1935,9058
1936,9064
1937,9065
1938,9066
1939,9067
1940,9068
1941,9069
1942,9070
1943,9072
1944,9074
1945,9075
1946,9076
1947,9078
1948,9081
1949,9090
1950,9099
1951,9101
1952,9104
1953,9107
1954,9110
1955,9115
1956,9119
1957,9130
1958,9142
1959,9143
1960,9147
1961,9201
1962,9202
1963,9216
1964,9232
1965,9247
1966,9248
1967,9260
1968,9262
1969,9265
1970,9267
1971,9273
1972,9274
1973,9275
1974,9278
1975,9279
1976,9301
1977,9302
1978,9303
1979,9304
1980,9305
1981,9306
1982,9308
1983,9310
1984,9312
1985,9319
1986,9322
1987,9324
1988,9325
1989,9336
1990,9347
1991,9351
1992,9364
1993,9366
1994,9368
1995,9369
1996,9380
1997,9381
1998,9384
1999,9385
2000,9386
2001,9401
2002,9404
2003,9405
2004,9409
2005,9412
2006,9413
2007,9414
2008,9416
2009,9417
2010,9418
2011,9419
2012,9424
2013,9428
2014,9432
2015,9433
2016,9434
2017,9435
2018,9438
2019,9449
2020,9450
2021,9466
2022,9468
2023,9470
2024,9474
2025,9475
2026,9479
2027,9501
2028,9502
2029,9503
2030,9504
2031,9505
2032,9506
2033,9507
2034,9508
2035,9509
2036,9511
2037,9513
2038,9514
2039,9517
2040,9519
2041,9531
2042,9532
2043,9533
2044,9534
2045,9535
2046,9536
2047,9543
2048,9551
2049,9600
2050,9601
2051,9602
2052,9603
2053,9605
2054,9612
2055,9613
2056,9616
2057,9619
2058,9621
2059,9622
2060,9627
2061,9628
2062,9629
2063,9632
2064,9633
2065,9644
2066,9658
2067,9663
2068,9672
2069,9675
2070,9678
2071,9682
2072,9684
2073,9692
2074,9697
2075,9699
2076,9702
2077,9704
2078,9706
2079,9715
2080,9716
2081,9717
2082,9719
2083,9722
2084,9726
2085,9729
2086,9731
2087,9735
2088,9739
2089,9740
2090,9742
2091,9743
2092,9744
2093,9746
2094,9749
2095,9755
2096,9757
2097,9759
2098,9760
2099,9763
2100,9765
2101,9766
2102,9768
2103,9769
2104,9783
2105,9787
2106,9788
2107,9790
2108,9793
2109,9795
2110,9824
2111,9828
2112,9830
2113,9831
2114,9832
2115,9837
2116,9842
2117,9843
2118,9850
2119,9854
2120,9856
2121,9861
2122,9869
2123,9872
2124,9880
2125,9882
2126,9887
2127,9889
2128,9896
2129,9900
2130,9902
2131,9919
2132,9928
2133,9930
2134,9932
2135,9934
2136,9936
2137,9946
2138,9948
2139,9956
2140,9960
2141,9962
2142,9972
2143,9974
2144,9979
2145,9982
2146,9983
2147,9984
2148,9986
2149,9987
2150,9989
2151,9990
2152,9991
2153,9993
2154,9994
2155,9995
2156,9997
